text,label
painful words- \i thought being happy was the most toughest thing on earth... but,0
where are you ? what are you doing ? are yuou working on getting the pc to your mom's ? did you find a spot that it would work ? i need you,0
what's up my own oga. left my phone at home and just saw ur messages. hope you are good. have a great weekend.,0
"okey dokey, iû÷ll be over in a bit just sorting some stuff out.",0
thank you. i like you as well...,0
good sleep is about rhythm. the person has to establish a rhythm that the body will learn and use. if you want to know more :-),0
hows the street where the end of library walk is?,0
send to someone else :-),0
dont know you bring some food,0
prepare to be pounded every night...,0
yup ok...,0
will be out of class in a few hours. sorry,0
havent planning to buy later. i check already lido only got 530 show in e afternoon. u finish work already?,0
i know complain num only..bettr directly go to bsnl offc nd apply for it..,0
god bless.get good sleep my dear...i will pray!,0
"k so am i, how much for an 8th? fifty?",0
"\speak only when you feel your words are better than the silence...\"" gud mrng:-)""",0
dude sux for snake. he got old and raiden got buff,0
"nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? it is very champlaxigating, i think it is atrocious.. wotz ur opinion???? junna",0
tell my bad character which u dnt lik in me. i'll try to change in &lt;#&gt; . i ll add tat 2 my new year resolution. waiting for ur reply.be frank...good morning.,0
message:some text missing* sender:name missing* *number missing *sent:date missing *missing u a lot thats y everything is missing sent via fullonsms.com,0
"i'd say that's a good sign but, well, you know my track record at reading women",0
i dont know what to do to come out of this so only am ask questions like this dont mistake me.,0
what to think no one saying clearly. ok leave no need to ask her. i will go if she come or not,0
think i could stop by in like an hour or so? my roommate's looking to stock up for a trip,0
wen did you get so spiritual and deep. that's great,0
lol for real. she told my dad i have cancer,0
ur tonexs subscription has been renewed and you have been charged å£4.50. you can choose 10 more polys this month. URL *billing msg*,1
hope you are not scared!,0
congrats ! treat pending.i am not on mail for 2 days.will mail once thru.respect mother at home.check mails.,0
at 4. let's go to bill millers,0
do u noe how 2 send files between 2 computers?,0
", im .. on the snowboarding trip. i was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? cheers,",0
wanna have a laugh? try chit-chat on your mobile now! logon by txting the word: chat and send it to no: 8883 cm po box 4217 london w1a 6zf 16+ 118p/msg rcvd,1
hi darlin im missin u hope you are having a good time. when are u back and what time if u can give me a call at home. jess xx,0
"* was really good to see you the other day dudette, been missing you!",0
true. its easier with her here.,0
wif my family booking tour package.,0
now am free call me pa.,0
how are you doing. how's the queen. are you going for the royal wedding,0
u horrible gal... u knew dat i was going out wif him yest n u still come n ask me...,0
aiya we discuss later lar... pick ì_ up at 4 is it?,0
ok... take ur time n enjoy ur dinner...,0
prepare to be pleasured :),0
"k, wait chikku..il send aftr &lt;#&gt; mins",0
not..tel software name..,0
i dont have i shall buy one dear,0
"so you think i should actually talk to him? not call his boss in the morning? i went to this place last year and he told me where i could go and get my car fixed cheaper. he kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",0
cuz ibored. and don wanna study,0
i'll be in sch fr 4-6... i dun haf da book in sch... it's at home...,0
how i noe... did ì_ specify da domain as nusstu... ìï still in sch...,0
i.ll give her once i have it. plus she said grinule greet you whenever we speak,0
you said not now. no problem. when you can. let me know.,0
did you get any gift? this year i didnt get anything. so bad,0
i don't know but i'm raping dudes at poker,0
just chill for another 6hrs. if you could sleep the pain is not a surgical emergency so see how it unfolds. okay,0
monthly password for wap. mobsi.com is PHONE. use your wap phone not pc.,1
aiyo cos i sms ì_ then ì_ neva reply so i wait 4 ì_ to reply lar. i tot ì_ havent finish ur lab wat.,0
gibbs unsold.mike hussey,0
"i feel like a dick because i keep sleeping through your texts and facebook messages. sup, you in town?",0
o. guess they both got screwd,0
i am not at all happy with what you saying or doing,0
"ok, be careful ! don't text and drive !",0
"tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february",0
never blame a day in ur life. good days give u happiness. bad days give u experience. both are essential in life! all are gods blessings! good morning.:,0
iû÷m going to try for 2 months ha ha only joking,0
"sad story of a man - last week was my b'day. my wife did'nt wish me. my parents forgot n so did my kids . i went to work. even my colleagues did not wish. as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there. she said,'' do u mind if i go into the bedroom for a minute ? '' ''ok'', i sed in a sexy mood. she came out 5 minuts latr wid a cake...n my wife, my parents, my kidz, my friends n my colleagues. all screaming.. surprise !! and i was waiting on the sofa.. ... ..... ' naked...!",0
